,SMALL LoINV,ME1 INV2,ME1 INV3,ME1 INV4,SMALL HiINV,ME2 INV1,ME2 INV2,ME2 INV3,ME2 INV4,ME2 INV5,ME3 INV1,ME3 INV2,ME3 INV3,ME3 INV4,ME3 INV5,ME4 INV1,ME4 INV2,ME4 INV3,ME4 INV4,ME4 INV5,BIG LoINV,ME5 INV2,ME5 INV3,ME5 INV4,BIG HiINV
197111,-5.0808,-4.8418,-6.169,-4.1816,-4.9077,-2.4011,-1.5245,-1.8426,-3.2988,-2.9257,-1.4472,-2.6092,-1.8199,-1.567,-2.9988,-0.6685,-1.7227,-2.0816,-0.8465,-1.7397,2.021,-1.1793,-0.1528,-0.8244,0.3195
197112,11.5918,11.0029,14.391,14.1425,14.798,12.9861,11.6148,12.5021,13.5647,14.142,14.0334,12.2772,9.3795,9.1812,13.4788,11.4754,10.5737,10.1425,10.2604,12.5117,5.5993,9.3584,9.9234,9.3218,10.3588
197201,19.244,13.2784,13.9444,14.5315,15.7264,8.8744,6.1033,7.4959,8.0033,8.5884,6.32,4.9301,5.5152,5.6467,5.3079,8.0136,3.0177,0.8484,3.4408,3.8853,2.2865,1.3393,1.5284,1.1967,2.8968
197202,6.6104,2.6545,4.1658,6.7128,4.2326,4.1153,5.2066,1.4609,2.7669,4.9779,2.5193,3.0699,3.4829,3.2198,3.1741,2.0301,2.8842,2.6988,1.8545,3.758,4.3108,2.5776,3.4935,3.4839,4.17
197203,-0.7577,1.7808,-0.5819,-2.3776,-0.9318,-1.4983,-0.6832,0.2342,2.336,0.847,0.3824,0.339,2.3131,-0.9337,3.1023,2.3334,1.8269,-0.6273,0.5565,1.2448,-2.5584,0.4766,0.9532,-0.2647,-1.282
197204,1.1306,-0.0883,-0.799,0.618,-1.5504,2.0672,1.563,1.3281,0.7228,-0.581,-0.4814,-1.6036,-0.2373,-0.2676,1.8396,2.3601,0.1402,0.2917,-0.2006,-0.416,-0.9978,0.6402,1.1757,0.4714,0.9685
197205,-2.9116,-2.6852,-3.3743,-2.9607,-3.9239,-2.4875,-2.6083,-2.5934,-2.7808,-3.6877,-0.9757,-2.339,-0.4787,-1.2944,-1.5129,-2.1709,-2.4892,-0.3396,0.5788,2.948,1.7956,0.1561,0.9836,1.2544,2.3241
197206,-3.7581,-3.106,-4.9977,-3.2693,-4.5755,-0.768,-3.7774,-3.2823,-0.9986,-4.0229,-3.0983,-2.2554,-3.6136,-4.4542,-2.8949,-4.1528,-3.5187,-2.85,-2.5416,-4.6401,-4.7813,-3.0959,-1.9786,-3.453,-1.546
197207,-2.8302,-1.7422,-3.3862,-4.4246,-5.6182,-4.9712,-3.8854,-1.9262,-2.3518,-4.3249,-1.4001,-0.4591,-3.1762,-1.2974,-4.0055,-2.213,-1.0038,-2.5503,-3.245,-3.5757,-2.7038,-0.4382,-1.2272,-0.3183,-1.8245
197208,-0.191,1.307,1.2657,0.2617,-2.3733,1.1772,-1.7743,3.3997,3.0552,-0.0615,5.6475,5.1011,2.6166,1.9449,-0.128,5.4567,4.3154,3.6032,2.2333,1.0913,5.7415,7.7188,5.159,3.9289,2.7839
197209,-4.1261,-3.3347,-4.9449,-2.7446,-5.16,-4.5657,-2.167,-2.2102,-2.714,-3.4342,-2.6198,-1.5376,-1.8185,-0.5727,-1.2905,-4.9928,-2.4215,-2.0797,-2.2608,-1.9772,-3.8796,-2.3278,-2.1034,-0.6705,-1.114
197210,-2.9636,-1.3785,-2.8391,-4.556,-4.1373,-0.4159,-0.2215,0.9172,-0.0272,-2.9889,-1.133,2.7678,-1.1902,0.639,-3.3344,1.6428,0.7036,-1.3157,-0.67,-0.8639,-0.4631,1.796,3.0038,1.4804,1.1992
197211,4.1585,3.4192,4.1684,4.5063,3.7822,7.22,6.5224,6.2571,5.0918,4.1369,6.0221,7.3788,5.7399,5.7334,4.3555,8.8016,7.0203,8.3182,10.4589,5.7817,8.3308,7.9134,5.9966,4.7155,5.1241
197212,-3.2804,-1.097,-3.1106,-4.2007,-3.7879,-3.8234,-3.2964,-2.4447,-0.7728,-1.0381,-0.9993,1.5592,-0.877,-1.839,-0.0208,-2.5729,-1.5848,-1.7511,-1.2199,0.5811,-3.056,-1.4958,0.9471,0.7693,0.7792
197301,0.492,-0.4002,-3.6449,-3.8378,-5.4679,-6.2975,-4.9588,-2.2619,-8.1318,-8.066,-7.1433,-6.0944,-3.7925,-5.4374,-9.5645,-7.4978,-4.638,-5.3716,-6.2276,-6.9374,-4.8015,-4.4656,-4.8601,-4.6735,-5.9043
197302,-7.687,-6.9431,-7.4624,-7.4706,-10.1122,-8.6428,-7.9769,-6.5405,-8.9178,-9.2299,-7.7717,-7.2106,-6.1102,-7.0027,-10.8481,-6.1802,-5.881,-4.4105,-6.0011,-8.8769,-4.5719,-4.8982,-4.1544,-3.6983,-4.061
197303,-2.3768,-2.1833,-2.0781,-2.5221,-4.115,-1.1576,-2.4702,-3.5032,-2.8157,-3.3448,-2.3516,-1.8163,-3.5102,-3.8018,-5.5323,-1.3657,-2.977,-2.9794,-2.9197,-3.5125,-1.9604,1.0079,-0.6717,-0.5595,-2.3003
197304,-7.3229,-5.5249,-4.8746,-7.567,-10.6672,-6.5601,-6.1138,-4.5231,-7.7378,-10.7025,-6.5658,-3.9708,-5.766,-4.5858,-12.3413,-6.1329,-5.0583,-6.3478,-6.0189,-10.3061,-4.3582,-3.0404,-5.04,-5.7195,-6.7151
197305,-11.2484,-7.1331,-8.6023,-10.7412,-11.3724,-11.2593,-8.3209,-7.5988,-7.7608,-10.7589,-8.3844,-7.5039,-7.2559,-3.2627,-9.6379,-9.587,-3.7651,-3.8897,-4.2458,-8.4375,-3.4048,-3.7545,-2.8006,-0.6313,-3.8087
197306,-1.3451,-4.3772,-2.4331,-4.5821,-5.4646,-3.7342,-0.6751,-3.0165,-4.5202,-5.2853,-3.6836,-3.8514,-1.695,-3.8116,-5.5775,-3.8708,-4.2698,-3.1024,-3.8161,-3.2778,-5.8215,-2.4355,-2.9294,-0.8406,-2.7795
197307,12.1442,10.704,11.7625,14.036,17.9729,9.6401,8.8215,10.6601,10.1155,19.5173,8.9571,7.6429,7.6359,8.4598,13.6772,10.2097,9.5252,7.4466,7.6046,13.8403,5.8305,6.5021,4.9982,5.908,8.3341
197308,-4.8778,-5.4159,-4.4054,-5.4425,-6.9509,-4.7635,-4.203,-6.5777,-3.5246,-3.7956,-2.3296,-1.3386,-2.8642,-4.1147,-3.2845,-0.0865,-2.1827,-2.5171,-1.4407,-2.8656,0.4993,-2.4814,-2.5053,-1.3861,-3.3483
197309,6.9695,6.1188,8.1734,8.3987,9.4404,8.4602,9.3335,11.4186,9.6366,12.0598,12.9127,9.3749,9.2962,9.9033,9.7843,10.3425,11.5059,11.1702,9.7222,11.9291,9.6014,9.6631,8.7908,5.5324,6.0322
197310,2.5217,1.5246,0.4055,0.7833,-1.4183,1.5799,1.1911,-0.3667,1.2514,-3.5412,0.336,1.2328,0.5881,-0.1436,-1.7771,2.1809,1.0123,-0.8312,-1.5806,-1.5361,3.5116,1.2797,-2.1388,-2.0046,-2.3182
197311,-18.7506,-17.1817,-18.8241,-18.5164,-22.7107,-19.0036,-14.7259,-16.9762,-20.2272,-22.6286,-18.7494,-14.9743,-16.8547,-15.1937,-19.0509,-14.567,-16.4246,-14.4923,-16.6265,-20.6468,-10.0147,-12.2743,-12.1451,-13.3305,-12.6645
197312,-6.9847,-5.2928,-5.6635,-5.4151,-5.5869,-1.5075,-2.6084,-3.1549,-2.0272,-2.0377,1.2581,0.036,0.0245,-2.2862,-0.7971,4.4906,1.877,3.0614,0.8591,1.5982,4.9988,4.3557,0.5877,-0.9339,1.9287
197401,24.1218,17.0639,16.799,17.1182,16.7929,17.5695,11.4601,13.5483,9.5107,9.3707,11.4609,8.7505,8.3642,7.2331,6.1379,6.6036,6.3343,5.4587,2.8721,2.8742,1.1864,1.4856,1.4853,2.4873,-0.5722
197402,1.083,1.4662,1.4675,2.0836,-0.0766,3.0593,1.4001,1.6316,0.5131,0.3094,3.2717,1.0198,0.3408,-0.8854,-1.4848,3.6611,2.2832,0.9972,-1.6562,-0.8182,2.6764,1.9501,0.6786,0.0448,-0.0348
197403,2.5073,3.7704,0.4666,2.1364,1.4887,-0.8333,-0.5218,1.1436,1.3672,0.3233,-0.7826,0.3223,-0.5687,-0.6839,-1.3111,-2.6771,-1.2589,-2.2177,-2.1746,-3.4874,-3.1932,-2.8826,-2.5098,-2.3384,-3.0353
197404,-3.6889,-4.2482,-5.402,-4.5879,-5.9418,-3.9472,-4.8021,-6.2235,-5.4179,-6.7396,-4.8471,-4.9615,-5.6598,-5.2772,-7.5212,-4.8768,-3.1861,-6.7773,-8.5623,-7.0581,-3.1432,-3.3962,-6.7069,-6.6773,-4.8654
197405,-6.2191,-5.941,-6.8766,-6.5993,-8.2367,-7.7409,-7.4437,-7.5005,-7.1182,-7.6427,-6.0514,-7.709,-6.6097,-7.4477,-10.2359,-6.925,-4.6212,-6.8131,-6.7724,-8.5074,-6.9932,-4.8765,-2.8137,-4.1286,-6.1463
197406,-1.6281,-0.5907,-2.5304,-2.4898,-3.6669,-1.3385,-0.8174,-1.5895,-1.6794,-4.9341,-0.1935,-2.2315,-3.5841,-4.4058,-3.8725,-1.7731,-2.5106,-1.8846,-3.737,-6.4215,-0.1803,-0.8896,-3.1192,-4.1033,-6.1888
197407,-3.9328,-3.3585,-3.3591,-4.6022,-6.8703,-4.995,-2.881,-3.3965,-3.1723,-5.9116,0.4315,-0.8019,-3.6232,-5.5956,-5.8041,-6.317,-2.2544,-3.0745,-7.7767,-6.9175,-2.8558,-5.7011,-6.8792,-7.8969,-9.3283
197408,-6.471,-5.8191,-7.1558,-6.9305,-8.7217,-4.7694,-8.5825,-7.0825,-8.8451,-9.8053,-4.2125,-7.7454,-8.5147,-9.4767,-10.0375,-6.423,-7.9349,-10.6316,-10.9788,-10.4484,-5.8587,-9.3326,-9.8394,-11.7089,-11.717
197409,-7.8856,-6.4393,-6.855,-6.5972,-10.3041,-7.0225,-5.5036,-5.1,-9.063,-12.4039,-5.6898,-4.6476,-8.723,-7.359,-14.412,-8.6181,-6.0446,-4.6878,-9.6487,-10.795,-7.0157,-7.5889,-8.2597,-10.5389,-15.007
197410,8.5843,7.9975,8.886,6.1535,8.2591,10.0725,9.188,9.713,8.6867,13.5048,7.9087,8.3225,10.7056,13.5008,15.2984,14.3735,13.5299,15.5168,18.2732,14.5325,20.7855,17.9828,19.1805,20.2272,25.7803
197411,-5.1173,-4.537,-6.3921,-5.9208,-7.6775,-3.2458,-2.5782,-6.0783,-5.1469,-7.3427,-3.2903,-3.0563,-1.7218,-5.9598,-5.9961,-0.7967,-2.905,-2.5496,-2.8035,-2.6005,-0.9359,-1.0036,-2.6523,-3.8359,-5.1945
197412,-10.1728,-7.4651,-9.6796,-10.0658,-10.0376,-6.9944,-5.1148,-5.5713,-6.4191,-8.1514,-4.4616,-3.3202,-4.2934,-4.5264,-7.7916,-3.4594,-4.0653,-5.3181,-2.595,-6.6369,-0.5834,0.4286,-1.9005,-3.6503,-5.6405
197501,39.0117,31.9232,31.8651,32.1338,35.5598,31.352,23.4253,28.0027,31.2152,32.0856,24.1208,25.0444,25.3987,27.2292,27.3237,25.9463,25.1644,23.7295,22.1566,22.0004,11.5364,13.6214,15.2578,15.0288,19.3306
197502,5.3618,5.035,7.0299,5.6346,5.2628,5.2264,3.6621,2.8622,3.9223,8.0574,4.7483,4.3958,3.41,7.4917,3.7549,4.4064,1.5047,3.5582,3.7353,6.7685,4.0576,4.2881,4.5189,8.6272,6.9725
197503,11.4832,9.4093,9.0093,10.0665,13.6335,6.6516,7.5842,6.8882,6.1918,9.6708,5.0573,3.1848,6.8555,8.7145,8.5528,5.1273,5.3964,4.9898,6.8103,8.2294,4.1502,4.4044,2.2591,3.9629,4.1127
197504,2.6687,2.3599,4.2776,3.5969,5.273,4.3844,4.9052,2.8315,3.6222,1.8534,4.3422,2.8544,1.8106,6.1214,6.1323,3.4825,4.2126,2.9527,4.265,5.9825,6.6428,3.0798,4.3346,4.307,8.8519
197505,8.3757,6.4465,8.2846,8.8579,10.5516,7.7924,5.1772,7.6739,7.4127,10.3364,6.8613,7.1073,6.2601,5.5479,5.348,5.8774,5.6664,8.3168,5.6389,7.5693,5.493,6.7158,6.1591,5.8195,3.3604
197506,9.379,8.8889,10.0349,9.3937,8.3886,8.2405,5.8891,7.7186,9.2087,8.2726,5.5906,5.8866,7.0835,6.7597,5.7811,5.1907,7.0751,8.1668,8.0605,6.2799,5.3011,6.0242,7.3003,6.6271,5.3893
197507,1.9785,0.4572,2.6154,1.0595,0.6784,-2.5408,-3.9355,-2.921,-3.2398,-3.9114,-3.6481,-3.2275,-3.8441,-5.486,-4.4173,-6.9923,-5.3832,-5.42,-4.0841,-7.4529,-5.5153,-6.5435,-6.6717,-6.5248,-6.231
197508,-7.2524,-5.4564,-5.5169,-5.2503,-6.5033,-6.741,-3.9169,-4.221,-4.4132,-5.8509,-3.238,-5.0076,-2.1663,-4.4633,-3.6771,-2.5988,-2.5521,-3.8191,-4.0579,-4.5476,-3.1241,-2.6161,-0.7719,-2.089,-2.0708
197509,-3.9151,-1.7966,-3.8385,-2.3838,-3.6506,-3.2089,-3.4945,-4.0931,-3.7983,-3.8339,-5.1356,-3.5404,-4.8428,-3.7994,-2.9115,-6.1268,-3.4611,-2.2271,-3.1112,-5.1805,-3.8976,-3.1987,-3.124,-4.4862,-4.894
197510,1.0861,-0.1682,2.082,0.9039,1.4603,2.8697,3.2996,3.4342,3.9588,2.5322,4.9785,4.6223,1.9081,1.7779,2.0837,7.4849,6.1628,6.6047,5.628,3.7948,7.9177,8.1931,6.6863,6.5581,3.1045
197511,1.4064,3.0138,2.9777,2.3968,1.3334,1.8794,1.6166,4.6069,4.7932,1.9984,2.6802,5.1235,2.8687,1.3102,1.9885,3.7812,3.7486,3.6094,3.705,5.0023,0.4561,5.2632,4.1466,2.1838,0.9512
197512,0.9067,-0.5466,-1.1956,-2.0751,-1.0338,-1.1553,-0.7666,0.3777,-0.8913,-1.7699,0.1462,1.4479,1.2654,-1.2611,-0.8299,0.3711,-0.2868,1.0189,-1.0947,-1.619,-0.3761,-1.3605,-1.347,-0.3379,-0.2925
197601,24.809,23.7454,23.2567,21.0499,23.2068,21.8643,20.2176,18.1398,21.5212,17.2094,20.1608,16.7342,16.0475,17.6974,17.8576,18.743,16.1284,13.6422,14.1652,15.0292,18.0205,12.3144,12.1631,10.9376,12.7066
197602,20.6148,16.2614,15.5396,13.2654,14.2228,10.7844,6.6408,9.5696,6.1335,8.8009,8.4897,5.2069,5.5195,6.0664,5.2177,4.4277,4.0538,2.1125,2.6133,3.6025,2.1507,1.3055,0.295,-1.7929,-1.3067
197603,3.2195,0.3666,2.0573,1.3247,2.4243,1.8552,1.6423,1.5851,0.6211,1,4.0592,3.0016,0.8042,0.9154,0.1515,2.3246,1.8344,1.9944,1.0963,1.334,3.3011,0.8902,1.8699,2.3219,1.6968
197604,-0.8589,-1.0003,-0.7024,-1.1238,-2.2009,-2.5803,-1.3885,-0.5709,-0.5952,-0.8519,-0.5862,-0.5938,0.0237,-2.3458,0.4992,-3.5258,-1.0531,-0.6762,-0.8926,-1.4502,-2.3107,-1.707,-0.7143,-0.1882,-1.4829
197605,-3.8886,-3.1505,-2.8679,-2.9993,-2.5557,-2.1457,-2.1037,-1.9404,-1.7259,-1.0496,-1.1576,-3.1045,-1.3458,-0.3099,-0.8984,-2.2033,-2.5329,-2.0157,-1.9183,1.2637,0.2188,-1.4132,-1.1651,-0.4508,0.398
197606,1.6852,2.2602,1.5011,2.8986,2.2306,4.2542,5.0708,1.4421,2.924,2.6229,6.1719,5.759,5.2071,4.803,5.301,6.6831,6.4762,4.874,4.1136,4.6195,9.4892,5.8403,4.058,5.2331,5.7317
197607,-0.3211,0.9557,1.4205,0.268,-0.2052,0.4471,1.0881,-0.8497,1.9143,-0.139,-0.9916,0.7539,1.1215,0.5627,-1.5059,1.9044,0.0243,0.0146,-0.0948,-0.4046,0.228,-1.1562,0.5764,-0.2311,-2.0917
197608,-3.6076,-1.0716,-0.3626,-1.5565,-2.2117,-2.4746,-2.3709,-1.9702,-2.6572,-3.1337,-3.7202,-1.7079,-0.6317,-0.2644,-2.4232,-3.7728,-1.3327,-0.6951,0.6162,-0.82,0.5349,-0.9622,1.0476,-0.0669,-1.032
197609,0.6993,1.7068,0.6068,1.6946,0.7892,1.4908,2.7027,4.8365,2.3618,4.3076,1.1352,2.9448,2.4037,2.3774,4.0696,2.8275,1.6382,2.1302,2.7259,2.5917,-0.7437,1.9659,2.0645,2.6739,3.278
197610,-3.5907,-2.0548,-1.5914,-2.6622,-2.1509,-1.7254,-2.2741,-1.7765,-2.3843,-2.8353,-2.7592,-1.2943,-1.9988,-0.4529,-2.3828,-1.8514,-4.3371,-1.3367,-0.9102,-2.5173,-4.3766,-3.5567,-2.3225,-2.2042,-2.935
197611,0.8448,2.5711,2.5844,1.5559,3.1573,4.9011,2.8076,2.4752,4.6124,3.9003,5.2081,4.2738,3.7861,3.5744,3.8602,3.3076,2.579,4.5491,3.1868,3.6031,1.2935,0.5106,3.155,0.0709,0.0027
197612,12.4163,10.1454,10.9892,10.5807,11.3177,12.019,10.1298,12.1774,9.7641,8.5154,10.9554,8.4102,9.2448,9.2686,6.4967,8.3809,8.5285,8.1089,7.6188,6.4152,8.4644,7.4064,6.0422,6.7729,4.7977
197701,8.0277,6.1942,4.9797,5.0898,6.1331,2.8397,1.7538,0.7811,0.8829,0.9081,0.3297,0.5149,-0.1503,-1.0734,-0.3265,-2.1816,-4.2435,-1.689,-2.5147,-2.0253,-4.0717,-3.8623,-3.8218,-4.964,-7.6895
197702,1.7349,0.8828,-0.1247,2.2029,-0.2175,-1.3009,-0.3592,-0.4321,-1.2095,-0.8221,-2.8433,-1.1755,-0.8455,-1.8479,-2.4848,-2.7739,-2.62,-0.3456,-2.6737,-2.7899,-2.8561,-1.9813,-1.7115,-2.0549,-2.2141
197703,1.8784,1.6774,0.8841,1.1966,0.9947,-0.4287,0.7183,0.1349,-0.0941,0.4643,-0.6989,0.8244,0.566,0.8138,0.9649,-0.4111,0.8224,-0.9549,0.9129,-0.2578,0.4909,-0.6384,0.1209,-1.6331,-0.7925
197704,2.303,2.3401,1.3548,1.9863,1.8493,2.2879,1.9596,1.5916,1.9947,0.7247,1.5941,2.6702,1.3974,1.1497,1.1227,2.8659,0.0222,1.7485,2.5604,0.9271,0.9673,0.8095,1.798,1.0853,-0.3719
197705,0.9385,1.5594,-0.0958,1.3375,0.342,-0.9727,0.5799,-0.3455,-0.0856,-0.9132,-0.309,-0.0289,0.5344,-0.1904,0.5551,-1.1031,-2.475,-0.7708,-0.2367,-0.4174,-1.2456,-1.2169,-1.3436,-0.9033,-0.8152
197706,5.9609,5.7239,5.536,4.5548,4.9477,7.3634,6.4368,5.2396,5.1589,7.3553,7.5765,4.9654,4.663,5.2969,8.6303,4.056,3.4766,4.9954,5.6789,6.4893,0.9769,3.9348,3.9257,5.7545,5.5079
197707,2.1123,1.6073,2.0604,2.5118,2.5661,-0.4924,0.6397,-0.1648,-0.4011,-0.1068,-0.95,-0.7236,-0.8581,0.586,-0.9522,-2.0459,-1.7218,-1.68,-2.101,-1.1669,-1.518,-0.6252,-1.836,-1.6921,-2.9383
197708,-0.817,0.0562,0.2405,-0.0108,-0.6943,-1.8279,-0.591,-1.2116,-0.4393,-0.1038,-0.3022,-1.0316,-0.8688,-0.2571,-0.0299,1.4342,-3.5606,-1.0805,-1.8028,-2.0562,-4.1584,-2.7566,-2.6419,-0.9439,-1.0527
197709,1.5841,1.4718,1.326,1.7401,1.9704,0.488,1.1649,-1.5979,2.5835,0.3549,-0.4286,1.1547,0.9536,1.8937,2.2375,-1.4357,-0.6459,0.33,0.0367,1.7739,-2.9846,0.1879,-0.8476,-0.0767,-0.9457
197710,-2.3988,-1.5044,-1.6865,-1.6264,-2.6073,-3.8264,-0.6138,-1.2267,-3.2936,-2.8811,-4.3108,-2.2865,-2.5963,-1.115,-2.9638,-3.7408,-2.9004,-3.0012,-3.0509,-4.1945,-2.7913,-4.6142,-3.6946,-4.1444,-4.9528
197711,7.616,7.06,8.8491,7.7389,7.0663,7.7559,8.0644,9.2136,8.3093,8.5117,9.124,6.9831,6.7407,6.4485,6.0876,8.896,5.9063,5.8263,7.4512,6.4099,7.696,3.7341,3.9314,4.0717,5.3869
197712,2.0285,3.0301,2.814,3.1576,3.5157,1.2318,0.0069,0.456,2.0016,2.6226,1.8708,2.214,0.5762,0.0469,1.1747,0.4133,0.9198,0.9884,0.9526,-0.9289,0.1104,0.4198,0.1178,0.4928,0.0362
197801,1.8346,-0.4619,0.411,-0.8218,-0.1998,-2.0965,-1.7457,-3.6648,-3.8689,-4.441,-2.8185,-3.4993,-2.778,-3.5296,-6.3202,-4.869,-5.1046,-5.0581,-4.8969,-6.0928,-5.5862,-4.3172,-5.6095,-6.0893,-7.801
197802,4.2293,3.5032,2.8243,3.1511,3.7707,2.494,1.0331,0.8366,1.8758,1.071,2.9269,1.2503,1.2651,0.1551,1.3436,0.6951,-0.169,0.2132,-1.1001,-0.7213,-0.054,-1.8029,-1.157,-2.0084,-2.756
197803,8.9061,6.275,7.6229,7.4864,8.3218,9.9081,5.066,7.1134,5.1519,6.6726,6.3864,7.1957,4.7446,6.5579,2.924,7.2993,4.4183,4.7442,3.936,6.0996,5.427,3.7504,3.8362,3.6784,3.6254
197804,9.0114,8.5816,7.9295,9.2385,7.9338,7.6052,6.3972,6.7312,7.0491,10.3177,7.4517,6.0999,7.489,6.5472,8.8628,7.867,7.0315,6.6951,6.6686,7.9406,11.6907,7.4273,7.7347,8.7388,10.5278
197805,10.6907,8.0382,6.674,9.5686,8.3469,7.184,4.5739,4.9529,4.3706,7.3177,5.8606,3.592,3.6111,3.8862,6.1107,2.7722,3.9189,3.7428,3.1078,3.4344,5.8573,1.6754,2.951,2.119,2.3676
197806,2.1373,1.5329,1.0225,1.6605,1.015,-0.3248,-1.1976,1.696,-0.0442,-0.8633,-0.8697,1.1062,-0.189,-0.1532,-0.7568,-0.9753,-1.1219,-0.3769,0.3768,-0.7585,-1.7455,-1.0306,-1.7144,-0.9651,-1.278
197807,4.4427,3.576,6.9342,5.6172,5.3666,7.7576,6.1842,5.2756,4.8384,6.1307,5.431,3.2438,4.6742,5.1264,7.1975,7.7848,5.0045,4.3935,7.2979,8.4329,4.7667,5.7683,5.675,4.9415,6.8142
197808,12.5871,11.878,9.1468,11.3321,11.7524,9.3873,7.9688,7.2533,7.519,9.8017,10.1117,7.1749,7.3041,5.2178,7.749,4.624,3.8512,7.3911,4.7514,5.471,1.8915,2.2941,3.0205,3.8236,4.1145
197809,3.1492,0.8716,0.1622,0.9589,0.0356,-1.0417,0.6234,-0.4842,-0.6328,-1.9267,-1.7455,0.5174,-1.9395,-1.8789,-1.1131,-1.0145,0.1725,-1.6063,-1.9962,-1.6892,0.5244,-0.354,-1.3729,-0.9577,-1.9882
197810,-20.7173,-18.8746,-21.2991,-20.9479,-22.8789,-22.0179,-16.6248,-15.0132,-18.3485,-23.5239,-21.3208,-15.6197,-15.2737,-14.9149,-18.8131,-15.6192,-11.4868,-13.7976,-13.4,-15.321,-10.171,-10.1768,-9.8372,-10.0305,-11.7253
197811,3.1911,3.851,5.039,6.9611,4.8913,5.9204,4.336,5.4678,5.8668,10.5132,6.5911,2.9524,5.1783,5.3918,6.0287,5.656,1.8707,3.2503,3.5054,3.8796,1.6777,3.7621,2.8739,2.1174,4.471
197812,0.5261,-0.569,0.9122,2.0889,2.6472,2.1591,0.2923,1.9159,2.5637,2.6153,2.1209,0.794,1.5067,2.7744,2.0002,-0.1232,1.0391,0.8408,2.2245,0.9263,1.4038,-0.5368,0.9662,0.719,2.1536
197901,12.961,11.0964,10.4694,10.5061,10.5471,9.686,11.468,6.4907,7.9283,9.7548,9.3724,8.0246,6.5547,7.4765,7.9152,7.9524,8.7187,6.7385,4.0998,5.3423,6.7181,5.6128,4.7595,4.5819,4.4766
197902,-1.539,-1.4967,-1.3713,-1.8176,-2.0718,-2.8986,-2.1007,-1.6461,-3.3865,-3.6519,-2.3304,-2.249,-4.0132,-2.4823,-2.4605,-3.2909,-2.4184,-3.6719,-3.4553,-4.9432,-2.7846,-2.1658,-3.8641,-3.4269,-3.3414
197903,7.9215,8.471,7.5753,8.894,9.2296,11.0539,7.5145,6.6923,8.6976,11.3848,13.6262,8.7923,6.8184,8.336,10.9397,7.7683,7.8255,7.3997,6.9139,8.9335,8.9285,6.3787,4.5706,5.6726,8.8979
197904,4.3828,3.1198,3.3561,2.2042,2.8573,3.1333,2.5935,1.307,2.3679,1.966,1.1994,2.3547,2.1843,1.3451,2.4643,0.4531,0.265,2.8337,1.8016,1.0877,-0.9785,-0.7315,-0.0258,-0.0846,0.2768
197905,0.099,0.0677,-1.3641,-0.9012,1.5914,-2.4313,-0.5288,-0.7635,-1.4297,-1.4244,-1.1278,-0.3579,-2.0367,-2.3241,-3.0498,-1.876,0.267,-2.0256,-0.9656,-0.4522,-0.2738,0.7553,-2.0187,-1.2006,-0.4336
197906,5.1308,4.3897,4.9003,4.8675,6.0344,6.2265,4.2581,5.9701,5.6578,6.8855,3.7962,5.946,3.8182,5.8944,4.8979,5.2024,6.8563,8.2728,4.2828,5.8701,5.4547,4.9187,4.2533,5.9203,6.7008
197907,1.6573,2.4063,1.9085,3.1704,1.3428,1.7089,4.3138,2.6578,3.2919,3.6807,3.9703,3.0219,4.2609,5.3989,1.4375,3.3892,3.3597,2.771,1.5338,2.4969,3.6552,1.7181,2.0127,2.4008,1.3184
197908,8.0173,6.5392,8.5121,7.8692,8.7756,6.4675,6.8722,8.7861,7.7913,8.9921,6.3395,7.6166,6.3589,7.7608,8.1596,6.0352,5.6071,6.7471,7.5574,9.3798,6.5412,5.4384,6.3899,5.8814,8.1302
197909,0.5602,0.1148,-0.5853,-0.7091,-0.6074,-0.2689,-1.3683,-0.2887,-1.6398,-0.2066,-0.4363,-1.3386,-2.0391,0.0378,0.3815,-0.2481,-1.666,-0.8783,-0.6004,0.9656,0.2758,0.6626,0.0628,-0.7055,-0.4484
197910,-9.7128,-8.3379,-9.0609,-10.2261,-10.6236,-12.588,-12.1113,-11.6427,-9.6817,-10.222,-10.6462,-9.8547,-9.0048,-8.7703,-8.7855,-8.747,-9.1916,-8.822,-8.3379,-9.1466,-7.6322,-6.0258,-7.8687,-8.2183,-6.0131
197911,4.7745,5.3029,6.0577,6.8754,7.6937,8.0207,7.1498,7.1621,7.0796,10.9573,8.9345,5.6681,7.4204,7.2195,10.7951,9.2172,6.5799,7.4016,5.6188,9.1096,7.1881,5.267,5.9338,6.2199,7.1737
197912,8.4539,6.0281,9.3148,8.1268,7.8688,6.3162,4.0599,6.1428,6.8062,6.5062,3.749,4.1428,3.0046,3.2251,5.9908,4.2939,2.1278,2.5313,2.1413,5.5219,6.2919,1.1518,3.1949,2.6602,4.0452
198001,13.1222,11.0437,12.7527,12.1438,13.0969,7.5201,5.3189,5.1778,6.7535,8.5439,8.5556,4.9828,5.3967,5.9185,6.3726,7.3313,2.9735,5.0085,4.6994,6.6314,5.6893,7.447,5.495,1.8139,5.4779
198002,0.7237,-0.989,-1.5341,-0.1649,0.2024,-1.6348,-2.2899,-3.5658,-2.5374,-1.6206,-4.0372,-2.494,-3.361,-3.7195,-3.4926,-3.236,-4.0182,-2.9521,-3.8809,-2.3404,-1.3001,0.291,-3.5,-5.5633,-3.7501
